,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_features,param_n_estimators,param_warm_start,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
199,0.28188676834106446,0.0017312467240960536,0.02891225814819336,0.0005746338735586683,False,balanced_subsample,log_loss,sqrt,100,False,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': False}",0.6020701552616446,0.7314548591144335,0.7860839562967222,0.810126582278481,0.742807825086306,0.7345086756075174,0.07210581215979428,117
198,0.2904627323150635,0.009253198609251683,0.029009485244750978,0.000302514850873393,False,balanced_subsample,log_loss,sqrt,100,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': True}",0.6020701552616446,0.7314548591144335,0.7860839562967222,0.810126582278481,0.742807825086306,0.7345086756075174,0.07210581215979428,117
180,0.2783632278442383,0.006279895470173997,0.028767871856689452,0.0004487285799711464,False,balanced_subsample,entropy,sqrt,100,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': True}",0.6020701552616446,0.7314548591144335,0.7860839562967222,0.810126582278481,0.742807825086306,0.7345086756075174,0.07210581215979428,117
181,0.27025656700134276,0.007973743125464401,0.028822708129882812,0.0003769735186079859,False,balanced_subsample,entropy,sqrt,100,False,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': False}",0.6020701552616446,0.7314548591144335,0.7860839562967222,0.810126582278481,0.742807825086306,0.7345086756075174,0.07210581215979428,117
145,0.27735114097595215,0.007393958671205004,0.02852349281311035,0.0004207955242150986,False,balanced,log_loss,sqrt,100,False,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': False}",0.6020701552616446,0.7314548591144335,0.7860839562967222,0.810126582278481,0.742807825086306,0.7345086756075174,0.07210581215979428,117
151,0.2785759925842285,0.003795489374733184,0.028307199478149414,0.00039237211323991564,False,balanced,log_loss,log2,100,False,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': False}",0.6020701552616446,0.7314548591144335,0.7860839562967222,0.810126582278481,0.742807825086306,0.7345086756075174,0.07210581215979428,117
58,1.3100835800170898,0.029133283965453942,0.07208371162414551,0.000657378176156536,True,balanced_subsample,gini,sqrt,500,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': True}",0.5802185163887291,0.7326049453709028,0.7981598619896493,0.8181818181818182,0.7353279631760644,0.7328986210214328,0.08348587376311531,133
59,1.2877551555633544,0.018641050911236738,0.07212338447570801,0.0004692660950634105,True,balanced_subsample,gini,sqrt,500,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': False}",0.5802185163887291,0.7326049453709028,0.7981598619896493,0.8181818181818182,0.7353279631760644,0.7328986210214328,0.08348587376311531,133
64,1.309479284286499,0.01719837893500252,0.07474284172058106,0.004146167512716272,True,balanced_subsample,gini,log2,500,True,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': True}",0.5802185163887291,0.7326049453709028,0.7981598619896493,0.8181818181818182,0.7353279631760644,0.7328986210214328,0.08348587376311531,133
65,1.3014703273773194,0.012064404432463606,0.07228560447692871,0.00024570541969526095,True,balanced_subsample,gini,log2,500,False,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': False}",0.5802185163887291,0.7326049453709028,0.7981598619896493,0.8181818181818182,0.7353279631760644,0.7328986210214328,0.08348587376311531,133
0,0.21287813186645507,0.016006693661180623,0.02891063690185547,0.00030374070348256657,True,balanced,gini,sqrt,100,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': True}",0.5526164462334675,0.7406555491661875,0.7947096032202415,0.8199079401611047,0.7410817031070196,0.7297942483776041,0.09377827979112517,137
7,0.20937695503234863,0.005947381008431847,0.02892894744873047,0.00019565816880840918,True,balanced,gini,log2,100,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': False}",0.5526164462334675,0.7406555491661875,0.7947096032202415,0.8199079401611047,0.7410817031070196,0.7297942483776041,0.09377827979112517,137
6,0.21174168586730957,0.0028275139466591753,0.02976813316345215,0.001737958054055594,True,balanced,gini,log2,100,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",0.5526164462334675,0.7406555491661875,0.7947096032202415,0.8199079401611047,0.7410817031070196,0.7297942483776041,0.09377827979112517,137
1,0.21612129211425782,0.006242596581440082,0.028534317016601564,0.00046023754866506727,True,balanced,gini,sqrt,100,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': False}",0.5526164462334675,0.7406555491661875,0.7947096032202415,0.8199079401611047,0.7410817031070196,0.7297942483776041,0.09377827979112517,137
