,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
238,0.0676790714263916,0.0011812102210908822,0.003208303451538086,0.00039736424573262184,log_loss,10,10,6,6,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 6, 'random_state': 6}",0.7078780908568143,0.7061529614721104,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7423296591893415,0.03316568841781622,97
241,0.06813926696777343,0.0009002016661938506,0.002784585952758789,0.0002063977177143756,log_loss,10,10,10,6,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 6}",0.7078780908568143,0.7061529614721104,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7423296591893415,0.03316568841781622,97
235,0.06816678047180176,0.00134749237301931,0.003045654296875,0.0006452668815196312,log_loss,10,10,2,6,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 6}",0.7078780908568143,0.7061529614721104,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7423296591893415,0.03316568841781622,97
239,0.06847972869873047,0.0007224456915917103,0.003242635726928711,0.0002900274985293763,log_loss,10,10,6,10,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 6, 'random_state': 10}",0.7078780908568143,0.7050028752156412,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7420996419380476,0.033418812802235374,103
155,0.06839923858642578,0.0016780770144546114,0.003034830093383789,0.0003532826940204529,entropy,10,10,2,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 10}",0.7078780908568143,0.7050028752156412,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7420996419380476,0.033418812802235374,103
161,0.06817517280578614,0.0011435158600679215,0.0026260852813720704,0.0003690494301299052,entropy,10,10,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 10}",0.7078780908568143,0.7050028752156412,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7420996419380476,0.033418812802235374,103
158,0.06749191284179687,0.0017493600937440042,0.002971363067626953,0.00011408635686421586,entropy,10,10,6,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 6, 'random_state': 10}",0.7078780908568143,0.7050028752156412,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7420996419380476,0.033418812802235374,103
236,0.06885733604431152,0.0017887853638018356,0.0032090187072753907,0.00039680231535849564,log_loss,10,10,2,10,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2, 'random_state': 10}",0.7078780908568143,0.7050028752156412,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7420996419380476,0.033418812802235374,103
242,0.06813578605651856,0.0006179792351168909,0.0033154010772705076,0.0004077047603575227,log_loss,10,10,10,10,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10, 'random_state': 10}",0.7078780908568143,0.7050028752156412,0.7412305922944221,0.7928653624856157,0.7635212888377445,0.7420996419380476,0.033418812802235374,103
137,0.07249946594238281,0.0019624624797607176,0.002880239486694336,0.0005250142464731964,entropy,10,2,2,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 10}",0.7044278320874066,0.6486486486486487,0.7619321449108684,0.7957422324510932,0.7071346375143843,0.7235770991224802,0.050853195903285235,109
